Gene stable ID	Anopheles gambiae Ensembl Gene ID	Anopheles gambiae % Identity
AALB005823	AGAP012831	93
AALB005840	AGAP006168	66
AALB005841		
AALB004243		
AALB005856	AGAP007144	19
AALB005884	AGAP005127	89
AALB004245		
AALB005921		
AALB005932	AGAP005779	74
AALB005955	AGAP005527	74
AALB005971		
AALB005999	AGAP005845	96
AALB006044		
AALB006043		
AALB006096		
AALB006098	AGAP005773	57
AALB006095		
AALB006101	AGAP005770	80
AALB006111	AGAP005758	23
AALB006121		
AALB006167	AGAP006763	30
AALB006176	AGAP006750	65
AALB006175	AGAP006754	47
AALB006182	AGAP007606	48
AALB006183	AGAP007608	85
AALB006208	AGAP013138	88
AALB006241	AGAP007690	68
AALB006243	AGAP007634	78
AALB004256		
AALB004102		
AALB004280		
AALB004273	AGAP005994	82
AALB004281	AGAP006010	89
AALB004291	AGAP006018	35
AALB004292		
AALB004298		
AALB004331		
AALB004354	AGAP005226	68
AALB004352	AGAP013141	90
AALB004363		
AALB004361	AGAP005217	77
AALB004362	AGAP005216	72
AALB004378		
AALB004390	AGAP005288	43
AALB004408		
AALB004410		
AALB004438	AGAP006046	87
AALB004448	AGAP005913	80
AALB004456	AGAP005807	28
AALB004461		
AALB004474	AGAP005796	68
AALB004477		
AALB004480	AGAP005792	29
AALB004480	AGAP005791	31
AALB004480	AGAP005790	28
AALB004479	AGAP005793	39
AALB004486	AGAP007327	18
AALB004512		
AALB004539	AGAP007372	42
AALB004539	AGAP007371	81
AALB004547		
AALB004557		
AALB004556	AGAP011060	47
AALB004560	AGAP006025	67
AALB004116		
AALB004577	AGAP006038	35
AALB004594	AGAP005588	66
AALB004587	AGAP004909	66
AALB004640		
AALB004644		
AALB004655	AGAP006402	43
AALB004656	AGAP006400	36
AALB004659	AGAP006398	84
AALB004674	AGAP006231	92
AALB004661	AGAP006393	61
AALB004682		
AALB004695		
AALB004704	AGAP005815	98
AALB004714	AGAP006468	68
AALB004706	AGAP005813	91
AALB004708	AGAP005919	44
AALB004710	AGAP005923	83
AALB004715	AGAP006469	33
AALB004717	AGAP013092	96
AALB004717	AGAP006471	1
AALB004718	AGAP013092	4
AALB004718	AGAP006471	41
AALB004722	AGAP006475	94
AALB004725		
AALB004733	AGAP004875	65
AALB004731		
AALB004749	AGAP004891	94
AALB004759	AGAP004819	72
AALB004768	AGAP006043	89
AALB004769	AGAP006044	86
AALB004762	AGAP012934	53
AALB004762	AGAP004816	54
AALB004763	AGAP012530	62
AALB004763	AGAP012531	61
AALB004763	AGAP004815	61
AALB004088	AGAP006327	62
AALB004771	AGAP005902	82
AALB004146	AGAP006365	96
AALB004787	AGAP005150	89
AALB004135		
AALB004795	AGAP005142	73
AALB004137	AGAP005931	61
AALB004802	AGAP005727	28
AALB004139	AGAP005934	84
AALB004140	AGAP005935	95
AALB004089		
AALB004827	AGAP006644	57
AALB004830	AGAP006641	46
AALB004845	AGAP006134	65
AALB004852	AGAP004865	86
AALB004853	AGAP004837	67
AALB004863	AGAP004828	80
AALB004877	AGAP001068	92
AALB004879	AGAP005158	51
AALB004892	AGAP006383	83
AALB004894		
AALB004895	AGAP000508	78
AALB004918	AGAP006925	31
AALB004925	AGAP005576	91
AALB004933	AGAP006143	5
AALB004944	AGAP007157	100
AALB004947	AGAP007160	91
AALB004935	AGAP006145	82
AALB004953	AGAP006386	67
AALB004949	AGAP006391	83
AALB004952	AGAP006387	78
AALB004957	AGAP005350	74
AALB004979		
AALB004160		
AALB004991	AGAP005048	65
AALB004992	AGAP005049	60
AALB004994	AGAP007066	57
AALB004997	AGAP007063	71
AALB004161	AGAP005715	48
AALB005012	AGAP007046	68
AALB004163	AGAP005717	72
AALB005023	AGAP007038	57
AALB005028		
AALB005029		
AALB005030	AGAP007031	22
AALB005031	AGAP001554	13
AALB005032		
AALB005034	AGAP006104	87
AALB005039	AGAP006108	62
AALB005041	AGAP006111	86
AALB005042		
AALB005046	AGAP006606	67
AALB005043	AGAP006112	67
AALB005056		
AALB004169	AGAP005322	71
AALB005064		
AALB005070		
AALB005076	AGAP005733	67
AALB005077	AGAP005734	77
AALB005097	AGAP005493	47
AALB005106	AGAP007420	62
AALB005119	AGAP007455	32
AALB005120	AGAP007456	38
AALB005121	AGAP007457	62
AALB005122		
AALB005111	AGAP007445	2
AALB005111	AGAP007442	21
AALB005112	AGAP007443	46
AALB005114	AGAP007440	64
AALB005117	AGAP007453	26
AALB005118	AGAP007454	35
AALB005125	AGAP007461	39
AALB005126	AGAP007446	25
AALB005143	AGAP007492	94
AALB005144	AGAP007475	54
AALB005135	AGAP007479	49
AALB004181	AGAP005096	16
AALB005151	AGAP007500	44
AALB005160	AGAP007511	78
AALB005161	AGAP003191	72
AALB005150	AGAP007500	42
AALB005152	AGAP007501	76
AALB005156	AGAP007505	81
AALB005159	AGAP007510	58
AALB005168	AGAP007522	86
AALB005192	AGAP006447	45
AALB005195	AGAP006444	55
AALB004184		
AALB005202		
AALB005203		
AALB005206		
AALB005214		
AALB005225	AGAP005460	71
AALB005227	AGAP006520	64
AALB005228		
AALB005232	AGAP006527	52
AALB005238		
AALB005241		
AALB005242		
AALB005245	AGAP006542	91
AALB005254		
AALB005262	AGAP006775	75
AALB005266	AGAP006125	79
AALB005272	AGAP006788	55
AALB004190	AGAP005109	80
AALB005269	AGAP000541	98
AALB005269	AGAP009572	95
AALB004191	AGAP005110	66
AALB005270	AGAP006784	74
AALB005276	AGAP006793	39
AALB005277		
AALB005283	AGAP006800	51
AALB005287	AGAP006804	74
AALB005300		
AALB004197	AGAP005117	97
AALB005305	AGAP006820	74
AALB005307	AGAP006822	46
AALB005308	AGAP006823	54
AALB005314	AGAP006830	93
AALB005316	AGAP006833	63
AALB005318		
AALB005324	AGAP006844	64
AALB005324	AGAP006846	64
AALB005324	AGAP006841	64
AALB005324	AGAP006845	65
AALB005324	AGAP006840	64
AALB005324	AGAP006842	64
AALB005324	AGAP006847	81
AALB005324	AGAP006843	81
AALB005330	AGAP006868	70
AALB005337	AGAP005375	87
AALB004202		
AALB004212	AGAP005552	60
AALB005342	AGAP005381	69
AALB004216	AGAP005558	83
AALB004217	AGAP005559	84
AALB005354		
AALB005358	AGAP006685	76
AALB005359	AGAP006686	98
AALB005377	AGAP006715	91
AALB005378	AGAP006717	58
AALB005389		
AALB005391		
AALB005393	AGAP007611	70
AALB004209	AGAP007245	73
AALB005409		
AALB005435	AGAP007653	74
AALB005438	AGAP007656	63
AALB005443	AGAP007661	81
AALB005444	AGAP007531	93
AALB005445	AGAP007532	94
AALB005450	AGAP007538	17
AALB005455	AGAP007542	71
AALB005461	AGAP007549	86
AALB005472	AGAP007700	78
AALB005496	AGAP007298	64
AALB005497	AGAP007297	87
AALB005511	AGAP000826	10
AALB005515	AGAP007270	26
AALB004224		
AALB005530	AGAP007249	94
AALB005539	AGAP005678	34
AALB005539	AGAP005679	41
AALB005543		
AALB005560	AGAP006993	80
AALB005554	AGAP006984	55
AALB005554	AGAP006980	54
AALB005574	AGAP007220	77
AALB005576	AGAP007162	86
AALB005570	AGAP007214	58
AALB005592	AGAP006619	58
AALB005594	AGAP006616	80
AALB005596	AGAP006614	88
AALB005598	AGAP005271	51
AALB005597	AGAP005270	90
AALB005600	AGAP005267	96
AALB005589	AGAP006622	81
AALB005604		
AALB005609		
AALB005610	AGAP006515	39
AALB005606	AGAP006518	92
AALB005613	AGAP006513	93
AALB005616	AGAP006509	72
AALB005621	AGAP006501	76
AALB005622		
AALB004229	AGAP005569	97
AALB005623		
AALB005624		
AALB005625	AGAP006500	17
AALB005629	AGAP006498	56
AALB005630		
AALB005632		
AALB005633	AGAP006496	62
AALB005639	AGAP006486	76
AALB005642	AGAP006481	58
AALB005646	AGAP007205	62
AALB005652	AGAP007197	79
AALB004234	AGAP007002	93
AALB005663	AGAP007173	47
AALB004235	AGAP007003	27
AALB005668	AGAP006130	95
AALB005672	AGAP006127	88
AALB005678	AGAP006118	66
AALB005680	AGAP006668	57
AALB005681	AGAP005930	55
AALB005684	AGAP005925	32
AALB005685	AGAP005925	36
AALB005692		
AALB005695	AGAP006898	92
AALB005726	AGAP005353	91
AALB005722	AGAP005360	85
AALB005740	AGAP005820	53
AALB005730	AGAP006948	76
AALB005736	AGAP006956	68
AALB005737	AGAP003813	23
AALB005741	AGAP005822	54
AALB005743	AGAP005824	91
AALB005761	AGAP007107	90
AALB005754	AGAP007383	67
AALB005765	AGAP007109	58
AALB005767		
AALB005770	AGAP005981	86
AALB005773	AGAP005978	93
AALB005778	AGAP005975	57
AALB005785	AGAP005964	59
AALB005793	AGAP005957	74
AALB005794	AGAP005955	80
AALB005805		
AALB005807		
AALB005825	AGAP028221	10
AALB005827		
AALB005833	AGAP006172	91
AALB005832	AGAP006171	52
AALB005835		
AALB005837	AGAP004064	65
AALB005846	AGAP006164	43
AALB005845	AGAP006162	74
AALB005850	AGAP006153	80
AALB005851	AGAP006152	53
AALB005853	AGAP007146	72
AALB005855	AGAP007143	74
AALB005877	AGAP003497	60
AALB005878	AGAP005121	90
AALB005871	AGAP006356	62
AALB005882	AGAP000719	92
AALB005885	AGAP005128	83
AALB005900	AGAP005330	92
AALB005904	AGAP005332	43
AALB005906	AGAP005336	92
AALB005910	AGAP005344	96
AALB005902		
AALB005903	AGAP005333	81
AALB005916	AGAP006375	67
AALB005919	AGAP006372	88
AALB005922	AGAP006369	83
AALB005924	AGAP005940	64
AALB005929	AGAP005782	89
AALB005945	AGAP006385	36
AALB005956	AGAP005526	67
AALB005959	AGAP005521	100
AALB005975	AGAP007417	53
AALB004248	AGAP005866	97
AALB005988	AGAP005830	83
AALB005979	AGAP007406	98
AALB005992	AGAP005838	85
AALB005993	AGAP005839	57
AALB006001	AGAP005847	87
AALB006004	AGAP005850	97
AALB006012	AGAP006084	77
AALB006013	AGAP006085	77
AALB006006	AGAP005852	82
AALB006017		
AALB006033	AGAP005421	77
AALB006020		
AALB006024	AGAP005434	71
AALB006025	AGAP005432	92
AALB006027	AGAP005430	91
AALB006039	AGAP005414	76
AALB006056		
AALB006049	AGAP005406	51
AALB006069		
AALB006072	AGAP005451	82
AALB006073	AGAP005454	84
AALB006073	AGAP005453	84
AALB006074	AGAP005454	84
AALB006074	AGAP005453	84
AALB006088	AGAP005055	73
AALB006083		
AALB006103	AGAP005768	75
AALB006103	AGAP005766	85
AALB006103	AGAP005767	85
AALB006110	AGAP005759	61
AALB006114	AGAP005755	13
AALB006120	AGAP005536	84
AALB006134	AGAP006179	75
AALB006136	AGAP006182	71
AALB006136	AGAP006181	84
AALB006140		
AALB006143		
AALB006144		
AALB006145	AGAP006190	41
AALB006160	AGAP005131	94
AALB006162	AGAP006768	86
AALB006158	AGAP006082	91
AALB006174		
AALB006185	AGAP006734	35
AALB006189	AGAP006737	58
AALB006191	AGAP006739	68
AALB006193		
AALB006196	AGAP007604	81
AALB006201	AGAP007593	95
AALB006203	AGAP007591	45
AALB006221	AGAP007570	79
AALB006222	AGAP007569	62
AALB006218	AGAP007575	78
AALB006233	AGAP007558	87
AALB006233	AGAP007557	91
AALB006245	AGAP007638	77
AALB006250	AGAP007644	69
AALB004257	AGAP005878	60
AALB004267	AGAP005989	64
AALB004283	AGAP006012	83
AALB004264	AGAP005886	69
AALB004271		
AALB004098	AGAP006343	94
AALB004098	AGAP006342	97
AALB004285	AGAP006014	65
AALB004286	AGAP006015	78
AALB004290		
AALB004099	AGAP006343	94
AALB004099	AGAP006342	97
AALB004299		
AALB004303	AGAP007669	72
AALB004304	AGAP007671	67
AALB004305	AGAP007672	97
AALB004312	AGAP004841	91
AALB004314	AGAP004838	87
AALB004314	AGAP012695	87
AALB004315	AGAP004839	78
AALB004337	AGAP005243	33
AALB004345	AGAP005234	76
AALB004348	AGAP005231	46
AALB004351	AGAP005228	88
AALB004355	AGAP005225	78
AALB004358	AGAP005220	94
AALB004372	AGAP005306	90
AALB004384	AGAP005294	84
AALB004377		
AALB004380	AGAP005299	69
AALB004389	AGAP005289	88
AALB004409		
AALB004107		
AALB004413	AGAP006658	50
AALB004414	AGAP006659	51
AALB004415	AGAP006660	93
AALB004421	AGAP006064	96
AALB004423		
AALB004424	AGAP006062	46
AALB004434	AGAP006052	65
AALB004444	AGAP005908	48
AALB004439		
AALB004441	AGAP005904	84
AALB004446		
AALB004447	AGAP005911	100
AALB004445	AGAP005910	89
AALB004464	AGAP005803	39
AALB004467	AGAP005801	88
AALB004470	AGAP005799	30
AALB004481	AGAP005792	31
AALB004481	AGAP005791	32
AALB004481	AGAP005790	27
AALB004482	AGAP007674	66
AALB004483	AGAP007674	26
AALB004487	AGAP009494	13
AALB004110		
AALB004501	AGAP006648	96
AALB004504	AGAP006651	76
AALB004523	AGAP005388	36
AALB004517	AGAP007347	72
AALB004534	AGAP013291	90
AALB004535	AGAP013291	2
AALB004537	AGAP007374	81
AALB004528		
AALB004529	AGAP007362	43
AALB004541	AGAP007369	86
AALB004544	AGAP007367	9
AALB004561	AGAP005025	100
AALB004562	AGAP012558	100
AALB004563		
AALB004564		
AALB004569	AGAP006030	80
AALB004582	AGAP004904	86
AALB004575		
AALB004578	AGAP006040	86
AALB004585	AGAP004907	76
AALB004586	AGAP004908	83
AALB004590	AGAP006931	62
AALB004592	AGAP005585	88
AALB004600	AGAP005601	64
AALB004601	AGAP005602	95
AALB004601	AGAP005603	96
AALB004603	AGAP005602	95
AALB004603	AGAP005603	96
AALB004604	AGAP005604	94
AALB004620	AGAP005624	52
AALB004634	AGAP007020	82
AALB004639	AGAP007012	36
AALB004647	AGAP006409	88
AALB004127	AGAP006672	66
AALB004128		
AALB004651	AGAP006405	41
AALB004129	AGAP006671	51
AALB004666	AGAP005637	71
AALB004668	AGAP007028	73
AALB004679	AGAP006214	59
AALB004692	AGAP006116	87
AALB004701	AGAP005817	90
AALB004085	AGAP000951	62
AALB004081	AGAP006321	88
AALB004086	AGAP006325	70
AALB004703		
AALB004707	AGAP005918	79
AALB004711	AGAP005922	73
AALB004705	AGAP005814	73
AALB004720	AGAP006473	72
AALB004724	AGAP006477	60
AALB004726	AGAP004870	77
AALB004734	AGAP004876	63
AALB004735	AGAP004877	96
AALB004737	AGAP004879	65
AALB004732	AGAP004874	69
AALB004736	AGAP004878	93
AALB004738	AGAP004880	91
AALB004739	AGAP004881	85
AALB004743	AGAP004885	75
AALB004746	AGAP004888	85
AALB004740	AGAP004882	87
AALB004742	AGAP004884	87
AALB004744	AGAP004886	87
AALB004745	AGAP004887	99
AALB004751	AGAP004893	55
AALB004752	AGAP012775	94
AALB004754	AGAP004824	61
AALB004753	AGAP004825	66
AALB004758	AGAP004820	77
AALB004770	AGAP005903	56
AALB004764	AGAP004814	87
AALB004772	AGAP005901	60
AALB004775	AGAP005898	66
AALB004776	AGAP005899	84
AALB004778	AGAP005897	94
AALB004779		
AALB004780	AGAP005896	58
AALB004091	AGAP006325	67
AALB004782	AGAP005894	93
AALB004784	AGAP005892	91
AALB004781	AGAP005895	78
AALB004783	AGAP005893	74
AALB004785	AGAP005891	84
AALB004786	AGAP005153	79
AALB004138	AGAP005933	56
AALB004799	AGAP005724	93
AALB004796	AGAP005721	66
AALB004800	AGAP005725	69
AALB004141	AGAP005936	60
AALB004807	AGAP005400	49
AALB004808		
AALB004815	AGAP005394	78
AALB004817	AGAP005392	81
AALB004819	AGAP005699	92
AALB004811	AGAP005398	81
AALB004813		
AALB004814	AGAP005396	49
AALB004816	AGAP005393	100
AALB004818	AGAP005391	62
AALB004821	AGAP005695	48
AALB004820	AGAP005697	40
AALB004820	AGAP005698	41
AALB004820	AGAP012903	40
AALB004822		
AALB004824	AGAP005693	59
AALB004825	AGAP006645	69
AALB004828	AGAP006643	70
AALB004829	AGAP006642	80
AALB004147	AGAP006364	79
AALB004831	AGAP006638	79
AALB004148	AGAP006362	59
AALB004153	AGAP005712	94
AALB004837	AGAP006634	61
AALB004838	AGAP006216	40
AALB004839	AGAP006633	98
AALB004841	AGAP000554	62
AALB004842	AGAP006631	82
AALB004846	AGAP006135	84
AALB004843	AGAP006630	94
AALB004844	AGAP006629	78
AALB004847	AGAP006136	66
AALB004856	AGAP004833	76
AALB004856	AGAP012699	67
AALB004856	AGAP012685	67
AALB004855	AGAP004834	89
AALB004858	AGAP004832	50
AALB004859	AGAP004831	59
AALB004867	AGAP005262	84
AALB004870	AGAP005259	45
AALB004871	AGAP004864	74
AALB004864		
AALB004868	AGAP005261	73
AALB004872	AGAP004863	91
AALB004873	AGAP004861	94
AALB004876		
AALB004874	AGAP005161	33
AALB004155	AGAP005713	36
AALB004882	AGAP005156	39
AALB004884	AGAP005890	63
AALB004883	AGAP005155	78
AALB004886		
AALB004885		
AALB004887	AGAP005988	82
AALB004888	AGAP005987	56
AALB004889	AGAP005984	85
AALB004889	AGAP005985	73
AALB004891	AGAP005982	82
AALB004896	AGAP000507	42
AALB004906	AGAP006903	75
AALB004907	AGAP006904	80
AALB004908	AGAP006905	53
AALB004909	AGAP006907	79
AALB004911	AGAP006911	75
AALB004911	AGAP006910	58
AALB004911	AGAP006909	59
AALB004910	AGAP006908	64
AALB004912	AGAP006913	58
AALB004913	AGAP006915	75
AALB004915	AGAP006921	68
AALB004919	AGAP005584	90
AALB004914	AGAP006918	94
AALB004916	AGAP006923	45
AALB004917	AGAP006925	60
AALB004920	AGAP005583	60
AALB004921	AGAP005582	66
AALB004928	AGAP006141	94
AALB004922	AGAP005581	90
AALB004927	AGAP007207	80
AALB004927	AGAP007216	74
AALB004927	AGAP007203	86
AALB004927	AGAP006731	20
AALB004929	AGAP006140	72
AALB004934	AGAP006144	85
AALB004936	AGAP006146	84
AALB004940	AGAP009576	3
AALB004942	AGAP007149	80
AALB004943	AGAP007155	82
AALB004937	AGAP006147	50
AALB004938	AGAP006148	91
AALB004939	AGAP006149	88
AALB004951	AGAP006389	95
AALB004956	AGAP005349	60
AALB004959	AGAP006946	82
AALB004962	AGAP006943	87
AALB004950	AGAP006390	60
AALB004955	AGAP005347	80
AALB004964	AGAP006941	65
AALB004966	AGAP006938	76
AALB004969	AGAP006934	67
AALB004971	AGAP006932	71
AALB004973	AGAP005047	55
AALB004977	AGAP005043	76
AALB004961	AGAP006944	93
AALB004965	AGAP006939	45
AALB004967	AGAP006936	95
AALB004970	AGAP006933	91
AALB004974	AGAP005046	86
AALB004976	AGAP005045	87
AALB004978	AGAP005042	88
AALB004985	AGAP004923	64
AALB004980	AGAP004932	86
AALB004982	AGAP004930	76
AALB004983	AGAP004929	69
AALB004986	AGAP004919	94
AALB004989	AGAP004915	82
AALB004995	AGAP007065	57
AALB004998	AGAP007062	81
AALB004993	AGAP005051	73
AALB004993	AGAP012825	73
AALB005003	AGAP007057	59
AALB005005	AGAP007055	94
AALB005004	AGAP007056	93
AALB005006	AGAP007053	80
AALB005009	AGAP007051	64
AALB005013		
AALB005014	AGAP007045	36
AALB005015	AGAP007044	93
AALB005018	AGAP007036	27
AALB005018	AGAP007035	21
AALB005018	AGAP007033	17
AALB005019	AGAP007036	29
AALB005019	AGAP007035	22
AALB005019	AGAP007033	18
AALB005020	AGAP007042	85
AALB005021	AGAP007036	24
AALB005021	AGAP007035	19
AALB005021	AGAP007033	14
AALB005022	AGAP007040	85
AALB005026	AGAP007034	66
AALB005024	AGAP007039	41
AALB004162	AGAP005716	59
AALB004164		
AALB004170	AGAP005321	66
AALB004172	AGAP005317	68
AALB004168	AGAP005323	86
AALB005036	AGAP006107	64
AALB005037		
AALB005040	AGAP006109	82
AALB005044	AGAP006113	97
AALB005045	AGAP006115	80
AALB005049	AGAP006604	100
AALB005051	AGAP006602	63
AALB005047	AGAP006605	72
AALB005048	AGAP012471	45
AALB005048	AGAP000575	50
AALB005050	AGAP006603	35
AALB005052	AGAP006601	55
AALB005053	AGAP006600	52
AALB005054	AGAP006599	69
AALB005059	AGAP006594	91
AALB005060	AGAP006593	79
AALB005055	AGAP006598	70
AALB005057	AGAP006596	50
AALB005058	AGAP006595	84
AALB005065	AGAP006590	50
AALB005068	AGAP006579	20
AALB005069	AGAP005738	89
AALB005071	AGAP005737	17
AALB005074	AGAP006410	63
AALB005079	AGAP006413	75
AALB005081	AGAP006416	64
AALB005087	AGAP006430	94
AALB005080	AGAP006415	83
AALB005084	AGAP006426	85
AALB005085	AGAP006427	87
AALB005086	AGAP006428	55
AALB005093	AGAP006435	76
AALB005094	AGAP005489	34
AALB005091	AGAP006433	21
AALB005095	AGAP005490	90
AALB005099	AGAP005496	66
AALB004174	AGAP005312	88
AALB005107	AGAP007421	35
AALB005109	AGAP007423	74
AALB005100	AGAP006420	42
AALB005101	AGAP005498	55
AALB005102	AGAP005499	75
AALB005105	AGAP005505	83
AALB004177	AGAP005311	36
AALB004178	AGAP005310	54
AALB004180		
AALB005115	AGAP007450	85
AALB005116	AGAP007452	26
AALB005124	AGAP007460	93
AALB005124	AGAP007459	81
AALB005130	AGAP007472	86
AALB005134	AGAP007478	54
AALB005136	AGAP007480	74
AALB005138	AGAP007484	70
AALB005142	AGAP007491	76
AALB005145	AGAP007494	96
AALB005148	AGAP007498	57
AALB005133	AGAP007477	91
AALB005137	AGAP007483	86
AALB005140	AGAP007487	42
AALB005141	AGAP007490	89
AALB005147	AGAP007497	83
AALB005158	AGAP007509	64
AALB005153	AGAP007502	62
AALB005155	AGAP007504	68
AALB005162	AGAP007512	55
AALB005164	AGAP007516	39
AALB005166	AGAP007520	85
AALB005165	AGAP007519	73
AALB005167	AGAP007521	57
AALB005169		
AALB005170	AGAP007523	86
AALB005172	AGAP007525	85
AALB005171	AGAP007524	94
AALB005173	AGAP007529	76
AALB005174	AGAP006467	48
AALB005176	AGAP006465	57
AALB005178	AGAP006462	71
AALB005183	AGAP006459	98
AALB005184	AGAP006456	94
AALB005185	AGAP006454	41
AALB005186	AGAP006453	32
AALB005189	AGAP006450	74
AALB005191	AGAP006448	57
AALB005187	AGAP006452	96
AALB005193	AGAP006446	43
AALB005194	AGAP006445	79
AALB005196		
AALB005198	AGAP006442	82
AALB005199	AGAP006441	87
AALB004185	AGAP005099	71
AALB004186	AGAP005100	97
AALB004188	AGAP005102	87
AALB004188	AGAP005103	78
AALB005204	AGAP006439	34
AALB005207	AGAP005483	53
AALB005207	AGAP005484	52
AALB005211	AGAP005467	84
AALB005205	AGAP006436	66
AALB005215	AGAP005471	79
AALB005217	AGAP005479	31
AALB005217	AGAP005485	28
AALB005217	AGAP003594	28
AALB005217	AGAP005473	27
AALB005216	AGAP005472	77
AALB005222	AGAP005463	53
AALB005224	AGAP005461	67
AALB005223	AGAP005462	91
AALB005226	AGAP005459	93
AALB005233	AGAP006528	64
AALB005230	AGAP006522	89
AALB005234	AGAP006529	80
AALB005237	AGAP006535	92
AALB005239	AGAP006536	65
AALB005246	AGAP006543	78
AALB005248	AGAP006546	61
AALB005250	AGAP006569	93
AALB005252	AGAP006570	89
AALB005247	AGAP006545	26
AALB005247	AGAP006544	28
AALB005257	AGAP006574	77
AALB005259	AGAP005739	48
AALB005259	AGAP005740	58
AALB005259	AGAP005741	77
AALB005256	AGAP006573	90
AALB005258	AGAP006575	89
AALB005267	AGAP006780	91
AALB005261	AGAP006774	92
AALB005265	AGAP006778	81
AALB005268	AGAP006782	98
AALB005271	AGAP006786	85
AALB005273	AGAP006789	85
AALB004189	AGAP005108	74
AALB004196	AGAP005116	94
AALB004198	AGAP005118	93
AALB004200	AGAP006443	54
AALB004200	AGAP006419	54
AALB004200	AGAP006418	52
AALB005281	AGAP006798	59
AALB005279	AGAP006795	65
AALB005279	AGAP006796	67
AALB004194	AGAP005113	85
AALB005282	AGAP006799	80
AALB004195	AGAP005115	51
AALB004199	AGAP005119	73
AALB005285	AGAP002776	87
AALB005288	AGAP006805	70
AALB005291	AGAP006810	73
AALB005284	AGAP006802	76
AALB005286	AGAP006803	68
AALB005289	AGAP006808	84
AALB005293	AGAP006812	25
AALB005298		
AALB005297		
AALB005303	AGAP006818	87
AALB005306	AGAP006821	93
AALB005301	AGAP006814	43
AALB005302	AGAP006817	92
AALB005309	AGAP006824	70
AALB005312	AGAP006828	94
AALB005313	AGAP006829	86
AALB005320	AGAP006835	60
AALB005321	AGAP006837	64
AALB005322	AGAP006838	80
AALB005323	AGAP006839	87
AALB005329	AGAP006867	82
AALB005317	AGAP006834	51
AALB005328	AGAP006865	61
AALB005331	AGAP006869	81
AALB005332	AGAP006871	93
AALB005334	AGAP005368	84
AALB005335	AGAP005370	69
AALB005338	AGAP005376	74
AALB005339	AGAP005378	34
AALB005344	AGAP005382	95
AALB005347	AGAP005386	69
AALB005350	AGAP005700	89
AALB005348		
AALB005349	AGAP005390	36
AALB005353	AGAP006680	49
AALB005356	AGAP006683	69
AALB005361	AGAP006688	75
AALB005362		
AALB005351	AGAP005701	86
AALB005355	AGAP006682	93
AALB005357	AGAP006684	73
AALB005360	AGAP006687	81
AALB005364		
AALB005365	AGAP006698	57
AALB004211	AGAP005551	70
AALB004215	AGAP005557	94
